player_id,name,age,nationality,club,league,position,position_group,overall_rating,potential,market_value_eur,wage_eur,height_cm,weight_kg,preferred_foot,contract_years_left,international_reputation,skill_moves,weak_foot,pace,shooting,passing,dribbling,defending,physic,appearances,goals,assists,minutes_played
100000,Felix Dubois,20,Nigeria,Lille Or,Ligue Première,CB,Defender,75,85,4967000.0,7600.0,184,79,Right,1,1,2,2,56,44,67,61,79,72,33,2,7,2143
100001,Mateo Costa,29,England,Costa Azul,Continental A,CB,Defender,72,72,1340000.0,1200.0,176,82,Right,1,1,3,3,61,54,69,63,73,75,25,0,5,1349
100002,Luca Bauer,28,Uruguay,Kings Park,Crown League,CB,Defender,70,70,1168000.0,1500.0,184,72,Right,4,2,3,4,70,47,54,51,70,74,25,2,0,1872
100003,Emre Romano,23,Morocco,Costa Azul,Continental A,LB,Defender,69,69,1482000.0,2000.0,178,65,Right,3,1,3,3,53,38,55,59,69,69,16,0,2,916
100004,Noah Bauer,23,England,Eindhoven Volt,Eredivisie Pro,LB,Defender,62,68,771000.0,1200.0,199,78,Right,3,1,3,2,57,49,59,52,73,57,12,0,2,859
100005,Tariq Vega,22,Portugal,Olympia Verde,Continental A,CAM,Midfielder,69,78,3347000.0,4600.0,174,77,Right,3,2,3,3,66,60,68,61,60,66,20,4,6,1107
100006,Diego Ferreira,25,Morocco,Paris Étoile,Ligue Première,CM,Midfielder,70,77,2740000.0,2100.0,179,73,Right,1,2,4,3,69,74,74,65,54,78,35,6,9,2952
100007,Theo Petrov,24,Colombia,Napoli Sud,Serie Oro,CF,Forward,74,79,3746000.0,4000.0,193,96,Right,4,1,3,4,72,79,70,93,67,65,26,11,9,1297
100008,Kai Petrov,23,Norway,Napoli Sud,Serie Oro,LWB,Defender,75,81,2312000.0,2800.0,184,70,Right,3,2,2,4,67,53,58,62,78,78,25,3,1,1482
100009,Adam Silva,27,Sweden,Atlético Sol,Continental A,CB,Defender,60,65,485000.0,1000.0,172,82,Right,2,2,2,3,57,31,49,49,64,61,35,2,1,2303
100010,Victor Janssen,27,Germany,Riverside FC,Crown League,LW,Forward,85,90,8373000.0,11200.0,191,80,Left,5,1,3,2,91,98,83,93,61,81,30,13,4,2511
100011,Kenji Lindqvist,26,Italy,Paris Étoile,Ligue Première,GK,Goalkeeper,81,86,2409000.0,1700.0,195,77,Left,4,2,2,3,45,47,63,61,70,64,35,0,0,2611
100012,Diego Dubois,26,Mexico,Ironside AFC,Crown League,LWB,Defender,79,79,2234000.0,3500.0,174,64,Right,5,2,3,3,73,67,66,62,84,86,30,2,2,1509
100013,Mamadou Toure,16,Colombia,Utrecht Dom,Eredivisie Pro,CAM,Midfielder,70,79,1930000.0,1400.0,183,83,Left,5,2,4,3,69,67,74,76,65,70,30,2,5,2579
100014,Eli Castro,22,Croatia,Hansa Nord,Bundesklasse,CB,Defender,59,62,801000.0,1200.0,173,83,Right,2,3,3,3,51,42,63,38,64,55,31,1,4,1522
100015,Rafael Ferreira,33,Croatia,Eindhoven Volt,Eredivisie Pro,RM,Midfielder,84,84,3147000.0,2600.0,185,75,Right,5,1,3,2,81,84,84,87,78,83,15,6,7,699
100016,Dani Volkov,27,Netherlands,Monaco Rocher,Ligue Première,RWB,Defender,77,82,2682000.0,3800.0,186,78,Right,1,1,4,4,73,53,72,63,85,69,34,1,7,1765
100017,Samir Bianchi,21,Uruguay,Sporting Lumen,Continental A,CF,Forward,79,85,5597000.0,4400.0,183,68,Right,4,2,3,3,91,82,84,83,59,85,27,13,6,1497
100018,Daichi Kovac,33,Colombia,Riverside FC,Crown League,CM,Midfielder,69,69,1072000.0,1000.0,191,67,Right,4,3,1,2,60,53,67,66,63,68,29,4,14,1337
100019,Kenji Petrov,22,France,Olympia Verde,Continental A,CM,Midfielder,75,82,4459000.0,6300.0,179,76,Right,4,1,3,3,59,71,77,84,64,68,10,2,4,471
100020,Andre Hart,30,Portugal,Paris Étoile,Ligue Première,RM,Midfielder,62,62,669000.0,1000.0,183,84,Right,3,1,3,2,69,74,64,53,54,57,28,9,5,2164
100021,Dani Marchetti,24,Spain,Olympia Verde,Continental A,CF,Forward,61,61,533000.0,1000.0,168,70,Right,1,1,2,2,67,64,39,69,41,53,38,16,10,2670
100022,Andre Adeyemi,29,Senegal,Olympia Verde,Continental A,RB,Defender,71,71,1375000.0,1000.0,181,83,Right,5,1,2,4,65,56,57,53,77,72,15,1,1,675
100023,Sergio Lindqvist,28,Colombia,Northgate United,Crown League,LW,Forward,65,65,1054000.0,1000.0,182,73,Right,5,3,4,4,71,70,63,68,45,62,6,3,2,335
100024,Dani Hart,28,Croatia,Napoli Sud,Serie Oro,LW,Forward,77,79,3986000.0,3100.0,187,76,Left,5,2,3,2,88,85,77,84,57,61,37,18,7,2894
100025,Mateo Adeyemi,21,Netherlands,Atlético Sol,Continental A,LB,Defender,61,69,855000.0,1000.0,178,71,Left,3,1,3,3,57,27,53,55,70,69,26,4,1,1962
100026,Bruno Ferreira,22,Senegal,Eindhoven Volt,Eredivisie Pro,RWB,Defender,80,82,2568000.0,3600.0,193,76,Right,1,2,3,3,60,45,72,68,84,89,14,2,0,1199
100027,Aleksandr Diallo,28,Senegal,Riverside FC,Crown League,RWB,Defender,68,72,1382000.0,1800.0,178,75,Right,3,1,3,3,60,43,66,56,73,70,29,0,3,1622
100028,Pavel Castro,16,Japan,Rotterdam Haven,Eredivisie Pro,RM,Midfielder,69,79,2085000.0,1500.0,180,67,Right,1,1,2,3,65,61,74,76,55,58,20,5,8,987
100029,Tom Marchetti,22,Belgium,Atlético Sol,Continental A,GK,Goalkeeper,76,85,3001000.0,4100.0,189,79,Right,1,3,3,3,58,43,66,45,55,66,38,0,0,2615
100030,Tom Novak,24,Morocco,Crystal Rovers,Crown League,CF,Forward,79,86,5595000.0,8900.0,175,71,Right,5,1,5,3,84,88,77,90,59,73,0,0,0,0
100031,Felix Castro,31,Denmark,Lille Or,Ligue Première,LM,Midfielder,70,70,1282000.0,1000.0,189,75,Right,2,2,3,3,66,62,68,71,59,73,25,8,9,2162
100032,Leon Keller,24,Uruguay,Paris Étoile,Ligue Première,LWB,Defender,67,70,1275000.0,1200.0,185,78,Left,1,2,3,1,65,45,61,59,70,73,19,0,1,1590
100033,Sven Petrov,16,Sweden,Schwarzwald SV,Bundesklasse,LW,Forward,70,81,4249000.0,5100.0,184,76,Right,4,1,4,3,80,80,66,71,51,63,30,13,12,2502
100034,Yusuf Weber,22,Italy,Amsterdam Lance,Eredivisie Pro,LWB,Defender,69,72,1262000.0,1000.0,173,65,Right,4,1,2,3,66,57,61,56,68,70,34,2,2,2478
100035,Nikola Weber,25,South Korea,Lyon Sud,Ligue Première,LWB,Defender,68,75,1870000.0,2400.0,179,78,Right,1,2,3,2,73,49,66,64,77,73,29,2,4,2390
100036,Daichi Lindqvist,24,Colombia,Napoli Sud,Serie Oro,RW,Forward,71,81,4656000.0,4600.0,184,73,Right,1,3,3,4,75,75,52,70,47,63,24,12,3,1892
100037,Hugo Sato,22,Germany,Kings Park,Crown League,RW,Forward,74,80,2845000.0,3800.0,187,70,Right,2,2,2,3,78,86,52,70,43,68,17,5,5,1398
100038,Bruno Tanaka,27,Morocco,Amsterdam Lance,Eredivisie Pro,LW,Forward,72,78,2347000.0,1900.0,177,58,Right,5,1,1,2,82,76,72,87,65,60,13,5,2,832
100039,Daichi Romano,24,Italy,Monaco Rocher,Ligue Première,LB,Defender,82,88,7150000.0,5500.0,191,84,Right,1,3,2,4,81,54,77,75,84,87,14,2,1,941
100040,Daichi Castro,23,Ghana,Riverside FC,Crown League,RW,Forward,57,62,703000.0,1000.0,184,71,Right,2,1,4,3,52,66,62,57,37,48,37,18,8,1941
100041,Luca Larsson,30,Belgium,Paris Étoile,Ligue Première,CB,Defender,54,54,236000.0,1000.0,186,74,Left,5,1,4,1,53,32,47,33,58,68,20,4,2,1346
100042,Jonas Costa,20,Serbia,Napoli Sud,Serie Oro,CB,Defender,75,80,3940000.0,3000.0,170,68,Left,1,2,3,4,71,56,79,62,80,69,23,0,2,1675
100043,Liam Stankovic,27,USA,Roma Vera,Serie Oro,RB,Defender,91,92,7286000.0,9500.0,179,72,Right,1,1,2,4,80,71,86,76,90,99,23,2,0,1081
100044,Omar Okafor,28,France,Inter Lazio,Serie Oro,LB,Defender,70,72,1654000.0,2600.0,175,78,Right,1,1,4,3,57,57,70,64,67,76,26,4,2,1808
100045,Yusuf Petrov,17,Japan,Kings Park,Crown League,LWB,Defender,83,95,6362000.0,5100.0,187,76,Left,3,1,3,4,76,65,66,79,86,84,26,1,5,1798
100046,Ravi Fischer,21,USA,Eindhoven Volt,Eredivisie Pro,LB,Defender,75,84,4028000.0,4500.0,184,66,Right,3,1,3,5,73,58,66,57,75,68,0,0,0,0
100047,Pavel Marchetti,23,Sweden,Hansa Nord,Bundesklasse,GK,Goalkeeper,65,69,856000.0,1000.0,189,66,Right,5,1,1,3,42,30,45,50,45,73,31,0,0,2735
100048,Eli Romano,24,Belgium,Lille Or,Ligue Première,RWB,Defender,57,61,454000.0,1000.0,178,68,Right,1,1,3,2,50,49,39,43,69,61,30,1,1,1586
100049,Marco Dubois,20,Uruguay,Eisern Berlin,Bundesklasse,CB,Defender,66,72,2592000.0,2300.0,180,61,Right,1,2,3,4,69,46,57,57,60,68,28,1,9,1641
100050,Carlos Castro,33,Uruguay,Torino Granata,Serie Oro,LM,Midfielder,63,63,654000.0,1000.0,173,71,Right,3,2,4,3,48,48,74,64,63,61,9,1,1,630
100051,Kenji Sato,25,Mexico,Napoli Sud,Serie Oro,ST,Forward,67,67,1579000.0,2200.0,177,75,Right,5,1,4,2,66,69,54,71,50,52,23,8,3,1899
100052,Diego Novak,19,Uruguay,Amsterdam Lance,Eredivisie Pro,CAM,Midfielder,60,68,832000.0,1100.0,186,84,Left,4,3,1,4,51,55,66,63,55,68,34,8,6,1836
100053,Marco Volkov,29,Norway,Utrecht Dom,Eredivisie Pro,CM,Midfielder,64,64,590000.0,1000.0,189,71,Right,3,2,3,2,61,56,69,72,44,67,28,5,13,2204
100054,Marco Janssen,18,Senegal,Atlético Sol,Continental A,LM,Midfielder,70,80,1886000.0,2500.0,182,59,Right,4,3,2,3,65,50,78,74,59,66,33,5,10,1566
100055,Tariq Stankovic,24,Mexico,Northgate United,Crown League,LWB,Defender,68,68,1124000.0,1000.0,182,76,Left,3,2,3,2,66,46,53,56,70,67,12,1,0,578
100056,Noah Silva,28,Japan,Amsterdam Lance,Eredivisie Pro,CDM,Midfielder,63,64,852000.0,1200.0,187,69,Right,1,1,3,2,54,55,66,73,61,51,26,8,6,1529
100057,Omar Haaland,29,Belgium,Milano Nero,Serie Oro,CAM,Midfielder,75,75,1599000.0,1700.0,179,76,Right,4,2,3,3,72,59,86,81,69,55,32,3,8,2088
100058,Tariq Marin,16,Colombia,Bayern Stein,Bundesklasse,CM,Midfielder,56,68,985000.0,1400.0,169,76,Right,3,1,3,2,52,49,58,61,57,56,33,12,5,2269
100059,Sergio Tanaka,23,Morocco,Bayern Stein,Bundesklasse,RB,Defender,74,81,2382000.0,1600.0,178,67,Left,4,1,3,4,64,51,73,64,72,79,26,1,1,1182
100060,Aaron Ibrahim,18,Nigeria,Northgate United,Crown League,LW,Forward,75,88,3854000.0,5100.0,182,77,Left,5,2,2,3,77,80,56,80,45,72,17,5,4,1226
100061,Diego Schmidt,16,Norway,Marseille Bleu,Ligue Première,LW,Forward,78,80,2627000.0,2800.0,179,63,Right,5,1,2,5,79,88,71,74,48,81,14,9,4,1240
100062,Aaron Mensah,26,Netherlands,Olympia Verde,Continental A,LW,Forward,60,61,810000.0,1000.0,170,77,Right,4,2,3,3,65,60,61,57,36,52,22,6,1,1670
100063,Theo Castro,23,Colombia,Costa Azul,Continental A,GK,Goalkeeper,64,68,728000.0,1000.0,186,71,Right,5,2,2,4,39,26,42,36,46,62,27,0,0,2171
100064,Ivan Nielsen,20,South Korea,Milano Nero,Serie Oro,LB,Defender,78,87,3782000.0,2600.0,179,80,Right,5,2,3,3,64,68,74,66,89,80,27,2,4,1825
100065,Noah Castro,20,Sweden,Rhein Adler,Bundesklasse,CDM,Midfielder,72,82,2960000.0,4400.0,179,66,Right,2,1,3,2,72,79,73,66,59,73,30,10,5,2017
100066,Theo Bianchi,25,Spain,Rotterdam Haven,Eredivisie Pro,ST,Forward,57,58,497000.0,1000.0,180,72,Right,1,1,2,3,63,63,44,61,43,58,27,11,6,2144
100067,Dani Nielsen,27,Croatia,Kings Park,Crown League,CF,Forward,79,81,4614000.0,5100.0,183,84,Right,1,1,5,3,85,83,74,83,58,80,24,9,8,1622
100068,Emre Park,22,Uruguay,Real Montaña,Continental A,RWB,Defender,63,72,1308000.0,1000.0,189,80,Left,3,3,5,2,55,41,55,56,63,59,17,1,0,1314
100069,Sven Almeida,22,Portugal,Riverside FC,Crown League,LM,Midfielder,64,67,1504000.0,1900.0,180,70,Right,4,1,3,3,58,47,69,66,61,64,25,7,4,1230
100070,Diego Kovac,23,Denmark,Lille Or,Ligue Première,RB,Defender,66,72,1259000.0,1000.0,195,77,Right,2,1,2,4,64,41,63,60,76,78,23,4,1,1783
100071,Joel Sato,20,Serbia,Ironside AFC,Crown League,LWB,Defender,69,76,1932000.0,1200.0,188,79,Left,3,1,3,3,57,45,69,52,67,76,18,3,2,813
100072,Ivan Novak,28,Denmark,Real Montaña,Continental A,LW,Forward,77,77,2719000.0,4300.0,189,73,Right,1,2,5,2,70,80,74,75,60,79,38,21,8,2690
100073,Theo Dubois,23,Japan,Torino Granata,Serie Oro,CB,Defender,66,68,1126000.0,1000.0,188,76,Right,2,2,1,4,41,41,60,51,79,68,26,3,2,1728
100074,Omar Petrov,29,Croatia,Eindhoven Volt,Eredivisie Pro,CAM,Midfielder,66,66,890000.0,1000.0,183,84,Left,3,3,2,3,63,58,68,68,82,68,22,3,7,1345
100075,Liam Tanaka,35,Denmark,Utrecht Dom,Eredivisie Pro,LB,Defender,80,80,2915000.0,4400.0,176,67,Right,3,1,2,3,72,52,77,61,83,82,28,5,7,2131
100076,Tom Marin,29,Brazil,Real Montaña,Continental A,RWB,Defender,74,74,1409000.0,1700.0,180,86,Right,4,2,4,5,62,41,68,60,67,73,12,1,1,986
100077,Tom Moretti,24,Serbia,Groningen Noord,Eredivisie Pro,ST,Forward,85,85,8866000.0,5800.0,177,73,Right,5,2,2,2,95,85,80,88,56,75,24,15,6,1643
100078,Mateo Janssen,19,South Korea,Eisern Berlin,Bundesklasse,RB,Defender,60,68,735000.0,1100.0,183,75,Right,3,1,3,4,46,34,47,45,70,65,26,3,1,2225
100079,Yusuf Stankovic,24,Belgium,Amsterdam Lance,Eredivisie Pro,CM,Midfielder,78,80,2807000.0,3600.0,171,74,Left,3,1,1,5,79,64,87,93,72,60,25,7,5,1646
100080,Felix Marin,24,Croatia,Eisern Berlin,Bundesklasse,RM,Midfielder,70,78,2272000.0,3400.0,184,76,Left,5,3,4,2,63,71,76,73,65,66,28,6,10,2447
100081,Noah Dubois,26,South Korea,Roma Vera,Serie Oro,LB,Defender,60,64,509000.0,1000.0,183,62,Right,5,1,4,3,69,42,62,49,64,64,34,4,8,1833
100082,Emre Bianchi,29,Germany,Atlético Sol,Continental A,ST,Forward,66,66,858000.0,1000.0,182,69,Right,2,2,4,4,69,75,52,60,50,58,23,9,5,1523
100083,Ivan Sato,24,Croatia,Napoli Sud,Serie Oro,CAM,Midfielder,77,80,3902000.0,3000.0,183,69,Right,5,2,2,2,77,69,77,74,82,73,38,8,15,2132
100084,Mateo Rossi,18,Croatia,Paris Étoile,Ligue Première,CDM,Midfielder,67,76,1549000.0,1600.0,175,75,Left,5,3,4,3,61,57,71,66,66,74,26,7,3,1996
100085,Ivan Tanaka,26,Uruguay,Costa Azul,Continental A,CAM,Midfielder,66,71,680000.0,1000.0,178,73,Left,4,1,4,2,55,64,75,69,59,65,23,5,3,1085
100086,Omar Marin,19,Italy,Inter Lazio,Serie Oro,CDM,Midfielder,82,89,6782000.0,8100.0,184,73,Right,4,2,4,2,78,71,82,83,95,88,9,2,0,538
100087,Omar Adeyemi,26,Belgium,Eindhoven Volt,Eredivisie Pro,CB,Defender,78,83,2622000.0,2200.0,175,86,Right,3,2,4,3,68,45,67,72,80,76,30,3,1,2465
100088,Nicolas Andersen,25,South Korea,Marseille Bleu,Ligue Première,CB,Defender,72,74,2159000.0,2200.0,183,66,Right,3,1,2,3,63,60,64,55,74,80,28,1,3,1391
100089,Tom Petrov,22,England,Groningen Noord,Eredivisie Pro,CAM,Midfielder,59,67,710000.0,1000.0,183,70,Left,5,2,3,3,60,57,56,62,58,49,38,10,10,2753
100090,Nicolas Silva,18,Spain,Lyon Sud,Ligue Première,LM,Midfielder,74,81,3391000.0,3600.0,186,83,Left,2,2,3,3,91,58,72,79,80,71,15,0,4,840
100091,Nicolas Bauer,23,Denmark,Rotterdam Haven,Eredivisie Pro,CM,Midfielder,64,70,1216000.0,1100.0,192,68,Right,4,1,3,2,60,51,65,59,65,61,12,2,8,638
100092,Theo Keller,22,Portugal,Rhein Adler,Bundesklasse,LM,Midfielder,76,84,5701000.0,6800.0,183,87,Right,5,2,4,2,73,58,79,74,76,81,9,2,1,439
100093,Ivan Volkov,23,Denmark,Eisern Berlin,Bundesklasse,CAM,Midfielder,52,52,273000.0,1000.0,195,75,Right,5,1,3,2,41,48,56,55,61,41,24,3,8,1328
100094,Aaron Adeyemi,30,Morocco,Inter Lazio,Serie Oro,RW,Forward,71,75,1745000.0,1800.0,187,72,Right,4,3,3,1,76,82,70,84,49,83,38,24,8,2476
100095,Nicolas Bianchi,31,Morocco,Roma Vera,Serie Oro,RWB,Defender,72,72,1403000.0,1800.0,179,79,Right,2,2,4,4,65,50,69,51,72,75,26,2,4,1388
100096,Adam Reyes,21,Portugal,Inter Lazio,Serie Oro,RM,Midfielder,69,74,1664000.0,2400.0,188,72,Right,2,2,2,3,58,58,71,67,61,74,21,3,6,1300
100097,Dani Ferreira,20,Spain,Napoli Sud,Serie Oro,CDM,Midfielder,63,71,945000.0,1500.0,183,81,Right,5,1,2,2,65,64,64,70,51,72,38,4,6,3393
100098,Mamadou Costa,25,Ghana,Northgate United,Crown League,RB,Defender,77,82,3941000.0,4000.0,177,74,Right,4,1,3,4,72,58,69,67,78,81,19,0,3,948
100099,Eli Mensah,32,Denmark,Inter Lazio,Serie Oro,GK,Goalkeeper,71,71,857000.0,1000.0,191,69,Left,2,1,2,4,42,38,53,46,47,82,23,0,0,2022
100100,Ravi Diallo,29,Colombia,Atlético Sol,Continental A,LWB,Defender,73,76,1096000.0,1000.0,174,75,Left,4,1,3,4,55,57,66,65,78,70,29,1,2,1408
100101,Kai Vega,22,Senegal,Ironside AFC,Crown League,CAM,Midfielder,78,83,4220000.0,5200.0,175,82,Left,3,2,4,4,81,73,81,82,74,82,29,10,6,1422
100102,Omar Larsson,20,Denmark,Crystal Rovers,Crown League,CM,Midfielder,77,82,4114000.0,4100.0,180,70,Right,3,1,3,3,74,71,83,81,65,65,23,4,7,1265
100103,Andre Schmidt,20,Colombia,Eindhoven Volt,Eredivisie Pro,CM,Midfielder,76,77,2148000.0,2500.0,178,80,Right,3,2,4,4,67,65,88,82,66,82,32,8,9,1915
100104,Sven Moretti,22,Argentina,Monaco Rocher,Ligue Première,LM,Midfielder,77,85,4139000.0,6100.0,186,65,Right,5,2,3,3,62,67,81,83,78,75,21,4,4,1182
100105,Mateo Vega,25,Spain,Milano Nero,Serie Oro,RM,Midfielder,75,81,2620000.0,1600.0,180,69,Left,5,2,3,5,66,65,66,74,65,65,25,6,3,1336
100106,Victor Marin,24,Croatia,Schwarzwald SV,Bundesklasse,CM,Midfielder,75,79,2574000.0,3000.0,182,73,Right,4,2,3,4,68,55,77,71,56,67,16,12,2,1031
100107,Aleksandr Marchetti,30,Norway,Crystal Rovers,Crown League,ST,Forward,70,70,2161000.0,2800.0,180,73,Right,1,1,3,2,80,71,84,76,51,69,35,21,7,3022
100108,Eli Marin,33,Senegal,Milano Nero,Serie Oro,GK,Goalkeeper,75,76,713000.0,1000.0,194,65,Right,5,3,3,2,46,41,52,52,59,70,27,0,0,2427
100109,Kai Toure,16,Senegal,Real Montaña,Continental A,CAM,Midfielder,68,82,4216000.0,6100.0,178,83,Left,1,1,3,3,64,57,76,75,72,71,24,7,11,1231
100110,Joel Silva,24,Senegal,Napoli Sud,Serie Oro,RM,Midfielder,73,79,2656000.0,2500.0,174,83,Right,3,2,3,3,64,65,76,66,60,80,23,7,9,1658
100111,Sergio Mensah,27,Ghana,Roma Vera,Serie Oro,RM,Midfielder,67,71,798000.0,1000.0,183,70,Left,4,2,4,4,63,49,71,77,74,69,29,5,7,1413
100112,Pavel Vega,23,Nigeria,Paris Étoile,Ligue Première,LWB,Defender,87,91,9772000.0,9600.0,170,82,Right,1,1,3,3,78,53,88,81,99,81,10,1,1,491
100113,Andre Castro,22,Italy,Milano Nero,Serie Oro,RB,Defender,63,72,1461000.0,2200.0,173,85,Right,5,3,3,4,57,55,55,45,73,68,22,3,3,1499
100114,Hugo Park,28,Senegal,Amsterdam Lance,Eredivisie Pro,CF,Forward,78,81,4533000.0,3600.0,193,68,Right,2,1,3,2,84,82,86,77,56,74,22,15,4,1436
100115,Carlos Schmidt,25,Brazil,Inter Lazio,Serie Oro,RB,Defender,69,69,1241000.0,1900.0,185,74,Right,2,2,3,3,64,39,63,75,79,75,34,2,2,2957
100116,Bruno Andersen,27,Uruguay,Costa Azul,Continental A,CM,Midfielder,71,73,1850000.0,2800.0,171,82,Right,3,3,3,2,62,57,78,75,68,69,31,9,8,1586
100117,Rafael Larsson,28,Serbia,Rotterdam Haven,Eredivisie Pro,CDM,Midfielder,71,71,1386000.0,1300.0,180,76,Left,5,1,2,4,66,53,76,63,62,73,33,7,8,1811
